id,comuna,barrio,tipo_negocio,categoria,cantidad_actual,fecha_recoleccion
1,1,Popular,cafeterias,alimentos,22,2026-03
2,1,Popular,restaurantes,alimentos,43,2026-03
3,1,Popular,tiendas,retail,59,2026-03
4,1,Popular,supermercados,retail,104,2026-03
5,1,Popular,charcuterias,alimentos,17,2026-03
6,1,Popular,licoreras,retail,20,2026-03
7,1,Popular,veterinarias,servicios,44,2026-03
8,1,Popular,peluquerias,servicios,64,2026-03
9,1,Popular,droguerias,servicios,32,2026-03
10,1,Popular,cacharrerias,retail,108,2026-03
11,1,Popular,panaderias,alimentos,55,2026-03
12,1,Popular,ferreterias,retail,20,2026-03
13,1,Santo Domingo Savio,cafeterias,alimentos,62,2026-03
14,1,Santo Domingo Savio,restaurantes,alimentos,66,2026-03
15,1,Santo Domingo Savio,tiendas,retail,9,2026-03
16,1,Santo Domingo Savio,supermercados,retail,15,2026-03
17,1,Santo Domingo Savio,charcuterias,alimentos,39,2026-03
18,1,Santo Domingo Savio,licoreras,retail,115,2026-03
19,1,Santo Domingo Savio,veterinarias,servicios,51,2026-03
20,1,Santo Domingo Savio,peluquerias,servicios,92,2026-03
21,1,Santo Domingo Savio,droguerias,servicios,44,2026-03
22,1,Santo Domingo Savio,cacharrerias,retail,68,2026-03
23,1,Santo Domingo Savio,panaderias,alimentos,90,2026-03
24,1,Santo Domingo Savio,ferreterias,retail,62,2026-03
25,1,Granizal,cafeterias,alimentos,75,2026-03
26,1,Granizal,restaurantes,alimentos,82,2026-03
27,1,Granizal,tiendas,retail,102,2026-03
28,1,Granizal,supermercados,retail,98,2026-03
29,1,Granizal,charcuterias,alimentos,61,2026-03
30,1,Granizal,licoreras,retail,111,2026-03
31,1,Granizal,veterinarias,servicios,44,2026-03
32,1,Granizal,peluquerias,servicios,92,2026-03
33,1,Granizal,droguerias,servicios,53,2026-03
34,1,Granizal,cacharrerias,retail,98,2026-03
35,1,Granizal,panaderias,alimentos,22,2026-03
36,1,Granizal,ferreterias,retail,24,2026-03
37,2,Santa Cruz,cafeterias,alimentos,59,2026-03
38,2,Santa Cruz,restaurantes,alimentos,43,2026-03
39,2,Santa Cruz,tiendas,retail,113,2026-03
40,2,Santa Cruz,supermercados,retail,50,2026-03
41,2,Santa Cruz,charcuterias,alimentos,87,2026-03
42,2,Santa Cruz,licoreras,retail,110,2026-03
43,2,Santa Cruz,veterinarias,servicios,15,2026-03
44,2,Santa Cruz,peluquerias,servicios,102,2026-03
45,2,Santa Cruz,droguerias,servicios,87,2026-03
46,2,Santa Cruz,cacharrerias,retail,112,2026-03
47,2,Santa Cruz,panaderias,alimentos,70,2026-03
48,2,Santa Cruz,ferreterias,retail,58,2026-03
49,2,La Rosa,cafeterias,alimentos,85,2026-03
50,2,La Rosa,restaurantes,alimentos,82,2026-03
51,2,La Rosa,tiendas,retail,85,2026-03
52,2,La Rosa,supermercados,retail,75,2026-03
53,2,La Rosa,charcuterias,alimentos,18,2026-03
54,2,La Rosa,licoreras,retail,105,2026-03
55,2,La Rosa,veterinarias,servicios,90,2026-03
56,2,La Rosa,peluquerias,servicios,30,2026-03
57,2,La Rosa,droguerias,servicios,31,2026-03
58,2,La Rosa,cacharrerias,retail,57,2026-03
59,2,La Rosa,panaderias,alimentos,106,2026-03
60,2,La Rosa,ferreterias,retail,101,2026-03
61,2,Andalucia,cafeterias,alimentos,45,2026-03
62,2,Andalucia,restaurantes,alimentos,53,2026-03
63,2,Andalucia,tiendas,retail,19,2026-03
64,2,Andalucia,supermercados,retail,119,2026-03
65,2,Andalucia,charcuterias,alimentos,19,2026-03
66,2,Andalucia,licoreras,retail,6,2026-03
67,2,Andalucia,veterinarias,servicios,100,2026-03
68,2,Andalucia,peluquerias,servicios,81,2026-03
69,2,Andalucia,droguerias,servicios,26,2026-03
70,2,Andalucia,cacharrerias,retail,112,2026-03
71,2,Andalucia,panaderias,alimentos,35,2026-03
72,2,Andalucia,ferreterias,retail,51,2026-03
73,3,Manrique Central,cafeterias,alimentos,87,2026-03
74,3,Manrique Central,restaurantes,alimentos,109,2026-03
75,3,Manrique Central,tiendas,retail,33,2026-03
76,3,Manrique Central,supermercados,retail,112,2026-03
77,3,Manrique Central,charcuterias,alimentos,89,2026-03
78,3,Manrique Central,licoreras,retail,17,2026-03
79,3,Manrique Central,veterinarias,servicios,54,2026-03
80,3,Manrique Central,peluquerias,servicios,75,2026-03
81,3,Manrique Central,droguerias,servicios,24,2026-03
82,3,Manrique Central,cacharrerias,retail,107,2026-03
83,3,Manrique Central,panaderias,alimentos,92,2026-03
84,3,Manrique Central,ferreterias,retail,60,2026-03
85,3,Santa Ines,cafeterias,alimentos,19,2026-03
86,3,Santa Ines,restaurantes,alimentos,108,2026-03
87,3,Santa Ines,tiendas,retail,9,2026-03
88,3,Santa Ines,supermercados,retail,64,2026-03
89,3,Santa Ines,charcuterias,alimentos,10,2026-03
90,3,Santa Ines,licoreras,retail,93,2026-03
91,3,Santa Ines,veterinarias,servicios,51,2026-03
92,3,Santa Ines,peluquerias,servicios,97,2026-03
93,3,Santa Ines,droguerias,servicios,23,2026-03
94,3,Santa Ines,cacharrerias,retail,27,2026-03
95,3,Santa Ines,panaderias,alimentos,78,2026-03
96,3,Santa Ines,ferreterias,retail,67,2026-03
97,3,El Raizal,cafeterias,alimentos,79,2026-03
98,3,El Raizal,restaurantes,alimentos,9,2026-03
99,3,El Raizal,tiendas,retail,25,2026-03
100,3,El Raizal,supermercados,retail,14,2026-03
101,3,El Raizal,charcuterias,alimentos,16,2026-03
102,3,El Raizal,licoreras,retail,36,2026-03
103,3,El Raizal,veterinarias,servicios,79,2026-03
104,3,El Raizal,peluquerias,servicios,61,2026-03
105,3,El Raizal,droguerias,servicios,110,2026-03
106,3,El Raizal,cacharrerias,retail,113,2026-03
107,3,El Raizal,panaderias,alimentos,117,2026-03
108,3,El Raizal,ferreterias,retail,57,2026-03
109,3,Zamora,cafeterias,alimentos,89,2026-03
110,3,Zamora,restaurantes,alimentos,29,2026-03
111,3,Zamora,tiendas,retail,81,2026-03
112,3,Zamora,supermercados,retail,40,2026-03
113,3,Zamora,charcuterias,alimentos,48,2026-03
114,3,Zamora,licoreras,retail,80,2026-03
115,3,Zamora,veterinarias,servicios,94,2026-03
116,3,Zamora,peluquerias,servicios,7,2026-03
117,3,Zamora,droguerias,servicios,5,2026-03
118,3,Zamora,cacharrerias,retail,105,2026-03
119,3,Zamora,panaderias,alimentos,111,2026-03
120,3,Zamora,ferreterias,retail,107,2026-03
121,4,Aranjuez,cafeterias,alimentos,57,2026-03
122,4,Aranjuez,restaurantes,alimentos,97,2026-03
123,4,Aranjuez,tiendas,retail,37,2026-03
124,4,Aranjuez,supermercados,retail,114,2026-03
125,4,Aranjuez,charcuterias,alimentos,21,2026-03
126,4,Aranjuez,licoreras,retail,29,2026-03
127,4,Aranjuez,veterinarias,servicios,22,2026-03
128,4,Aranjuez,peluquerias,servicios,73,2026-03
129,4,Aranjuez,droguerias,servicios,39,2026-03
130,4,Aranjuez,cacharrerias,retail,119,2026-03
131,4,Aranjuez,panaderias,alimentos,86,2026-03
132,4,Aranjuez,ferreterias,retail,70,2026-03
133,4,Berlin,cafeterias,alimentos,33,2026-03
134,4,Berlin,restaurantes,alimentos,72,2026-03
135,4,Berlin,tiendas,retail,19,2026-03
136,4,Berlin,supermercados,retail,51,2026-03
137,4,Berlin,charcuterias,alimentos,58,2026-03
138,4,Berlin,licoreras,retail,107,2026-03
139,4,Berlin,veterinarias,servicios,29,2026-03
140,4,Berlin,peluquerias,servicios,101,2026-03
141,4,Berlin,droguerias,servicios,25,2026-03
142,4,Berlin,cacharrerias,retail,78,2026-03
143,4,Berlin,panaderias,alimentos,63,2026-03
144,4,Berlin,ferreterias,retail,75,2026-03
145,4,Moravia,cafeterias,alimentos,49,2026-03
146,4,Moravia,restaurantes,alimentos,102,2026-03
147,4,Moravia,tiendas,retail,72,2026-03
148,4,Moravia,supermercados,retail,17,2026-03
149,4,Moravia,charcuterias,alimentos,119,2026-03
150,4,Moravia,licoreras,retail,43,2026-03
151,4,Moravia,veterinarias,servicios,78,2026-03
152,4,Moravia,peluquerias,servicios,106,2026-03
153,4,Moravia,droguerias,servicios,63,2026-03
154,4,Moravia,cacharrerias,retail,99,2026-03
155,4,Moravia,panaderias,alimentos,49,2026-03
156,4,Moravia,ferreterias,retail,90,2026-03
157,5,Castilla,cafeterias,alimentos,96,2026-03
158,5,Castilla,restaurantes,alimentos,73,2026-03
159,5,Castilla,tiendas,retail,24,2026-03
