servicio,estrato,suscriptores,cobertura,periodo
Acueducto,1,8809.0,90%,31/12/2019
Alcantarillado,1,8173.0,84%,31/12/2019
Aseo,1,8494.0,87%,31/12/2019
Acueducto,2,14632.0,95%,31/12/2019
Alcantarillado,2,14353.0,94%,31/12/2019
Aseo,2,14111.0,92%,31/12/2019
Acueducto,3,8.0,80%,31/12/2019
Alcantarillado,3,12.0,120%,31/12/2019
Aseo,3,4.0,40%,31/12/2019
Acueducto,4,3.0,300%,31/12/2019
Alcantarillado,4,6.0,600%,31/12/2019
Aseo,4,9.0,900%,31/12/2019
Acueducto,1,2335.0,93%,31/12/2019
Alcantarillado,1,2164.0,86%,31/12/2019
Aseo,1,2548.0,101%,31/12/2019
Acueducto,2,17064.0,96%,31/12/2019
Alcantarillado,2,16649.0,94%,31/12/2019
Aseo,2,16562.0,93%,31/12/2019
Acueducto,3,12.0,32%,31/12/2019
Alcantarillado,3,19.0,51%,31/12/2019
Aseo,3,11.0,30%,31/12/2019
Acueducto,4,3.0,300%,31/12/2019
Alcantarillado,4,4.0,400%,31/12/2019
Aseo,4,13.0,1300%,31/12/2019
Acueducto,1,6843.0,84%,31/12/2019
Alcantarillado,1,6488.0,79%,31/12/2019
Aseo,1,7169.0,88%,31/12/2019
Acueducto,2,19200.0,97%,31/12/2019
Alcantarillado,2,19165.0,97%,31/12/2019
Aseo,2,18933.0,96%,31/12/2019
Acueducto,3,5711.0,95%,31/12/2019
Alcantarillado,3,5685.0,94%,31/12/2019
Aseo,3,5706.0,94%,31/12/2019
Acueducto,4,22.0,63%,31/12/2019
Alcantarillado,4,22.0,63%,31/12/2019
Aseo,4,24.0,69%,31/12/2019
Acueducto,5,2.0,33%,31/12/2019
Alcantarillado,5,2.0,33%,31/12/2019
Aseo,5,1.0,17%,31/12/2019
Acueducto,1,3128.0,101%,31/12/2019
Alcantarillado,1,2769.0,89%,31/12/2019
Aseo,1,3123.0,101%,31/12/2019
